id,fecha,hora,red,texto,imagen_url,enlace,publicado,lista,video_url,titulo
R001,09/09/2026,20:30,instagram_reel,"Calidad en un Excel. Proyectos en otro. Así no se gestiona. Se sobrevive.

Orbita · PM Tool: toda la gestión en un solo portal.

Así trabajamos ahora con nuestros clientes.
Enlace en bio.

#OrbitaPMTool #GestiónDeProyectos #TuConsultor #Reels #Orbita",,https://www.tuconsultor.com/orbita/,,,https://znrbidycakbbfmynbeot.supabase.co/storage/v1/object/public/videos/orbita/A01.mp4,Calidad en un Excel. Proyectos en otro. Así no se gestiona. Se sobrevive.
R002,11/09/2026,20:30,instagram_reel,"Sabes qué hay que hacer. Lo que no sabes es quién lo está haciendo.

Procesos con tareas, responsables y plazos que se ven.

Cada proceso, sus tareas. Cada tarea, su dueño.
Enlace en bio.

#Procesos #Productividad #TuConsultor #Reels #Orbita",,https://www.tuconsultor.com/orbita/,,,https://znrbidycakbbfmynbeot.supabase.co/storage/v1/object/public/videos/orbita/C01.mp4,Sabes qué hay que hacer. Lo que no sabes es quién lo está haciendo.
R003,14/09/2026,20:30,instagram_reel,"Relación, Implicación o Compromiso. Tres formas de trabajar contigo.

Una herramienta para las tres.

Pide una conversación de 20 minutos y te decimos qué modelo te encaja.
Enlace en bio.

#SistemasDeGestión #Consultoría #TuConsultor #Reels #Orbita",,https://www.tuconsultor.com/orbita/,,,https://znrbidycakbbfmynbeot.supabase.co/storage/v1/object/public/videos/orbita/F01.mp4,"Relación, Implicación o Compromiso. Tres formas de trabajar contigo."
R004,16/09/2026,20:30,instagram_reel,"No conformidad abierta 8 meses. Nadie la vio. Nadie la buscó.

Cada acción con dueño, fecha y evidencia. A la vista.

Pide una demo y trae tu última no conformidad.
Enlace en bio.

#ISO9001 #SistemasDeGestión #TuConsultor #Reels #Orbita",,https://www.tuconsultor.com/orbita/,,,https://znrbidycakbbfmynbeot.supabase.co/storage/v1/object/public/videos/orbita/B02.mp4,No conformidad abierta 8 meses. Nadie la vio. Nadie la buscó.
R005,18/09/2026,20:30,instagram_reel,"El informe de seguimiento del lunes ya estaba viejo el martes.

Dashboard en tiempo real. Para ti y para tu cliente.

Orbita · PM Tool: ver es la mitad del control.
Enlace en bio.

#Dashboard #Dirección #TuConsultor #Reels #Orbita",,https://www.tuconsultor.com/orbita/,,,https://znrbidycakbbfmynbeot.supabase.co/storage/v1/object/public/videos/orbita/D02.mp4,El informe de seguimiento del lunes ya estaba viejo el martes.
R006,21/09/2026,20:30,instagram_reel,"Cuatro carpetas, tres Drive y un WhatsApp. Eso no es un sistema.

Un portal donde todo tiene sitio y dueño.

Así trabajamos ahora con nuestros clientes.
Enlace en bio.

#OrbitaPMTool #GestiónDeProyectos #TuConsultor #Reels #Orbita",,https://www.tuconsultor.com/orbita/,,,https://znrbidycakbbfmynbeot.supabase.co/storage/v1/object/public/videos/orbita/A03.mp4,"Cuatro carpetas, tres Drive y un WhatsApp. Eso no es un sistema."
R007,23/09/2026,20:30,instagram_reel,"El procedimiento dice qué. Orbita dice quién y cuándo.

Cada proceso con sus tareas asignadas.

Cada proceso, sus tareas. Cada tarea, su dueño.
Enlace en bio.

#Procesos #Productividad #TuConsultor #Reels #Orbita",,https://www.tuconsultor.com/orbita/,,,https://znrbidycakbbfmynbeot.supabase.co/storage/v1/object/public/videos/orbita/C03.mp4,El procedimiento dice qué. Orbita dice quién y cuándo.
R008,25/09/2026,20:30,instagram_reel,"Certificarse no es lento. Es desordenado.

Ordénalo en un portal y mira lo que tarda.

Semanas contadas, hitos con evidencia. Orbita · PM Tool.
Enlace en bio.

#ISO9001 #Certificación #TuConsultor #Reels #Orbita",,https://www.tuconsultor.com/orbita/,,,https://znrbidycakbbfmynbeot.supabase.co/storage/v1/object/public/videos/orbita/E03.mp4,Certificarse no es lento. Es desordenado.
R009,28/09/2026,20:30,instagram_reel,"Auditoría interna en octubre. Evidencias desde enero.

Registrar en el momento, no la víspera.

Pide una demo y trae tu última no conformidad.
Enlace en bio.

#ISO9001 #SistemasDeGestión #TuConsultor #Reels #Orbita",,https://www.tuconsultor.com/orbita/,,,https://znrbidycakbbfmynbeot.supabase.co/storage/v1/object/public/videos/orbita/B04.mp4,Auditoría interna en octubre. Evidencias desde enero.
R010,30/09/2026,20:30,instagram_reel,"Verde, ámbar, rojo. Por proyecto, por hito, por persona.

Ahora. No a final de mes.

Orbita · PM Tool: ver es la mitad del control.
Enlace en bio.

#Dashboard #Dirección #TuConsultor #Reels #Orbita",,https://www.tuconsultor.com/orbita/,,,https://znrbidycakbbfmynbeot.supabase.co/storage/v1/object/public/videos/orbita/D04.mp4,"Verde, ámbar, rojo. Por proyecto, por hito, por persona."
